Card flavor text,Cash change,Add. effect
Advance to Boardwalk.,0,Boardwalk
Advance to Go (Collect $200),0,Go
"Advance to Illinois Avenue. If you pass Go, collect $200.",0,IllinoisAve
"Advance to St. Charles Place. If you pass Go, collect $200.",0,StCharlesPlace
"Advance to the nearest Railroad. if unowned, you may buy it from the Bank. if owned, pay owner twice the rental to which they are otherwise entitled.",0,Railroad
"Advance to the nearest Railroad. if unowned, you may buy it from the Bank. if owned, pay owner twice the rental to which they are otherwise entitled.",0,Railroad
"Advance token to nearest Utility. if unowned, you may buy it from the Bank. if owned, throw dice and pay owner a total ten times amount thrown.",0,Utility
Bank pays you dividend of $50.,50,none
Get Out of Jail Free.,0,JailFree
Go Back 3 Spaces.,0,Back3
"Go to Jail. Go directly to Jail, do not pass Go, do not collect $200.",0,Jail
Make general repairs on all your property. For each house pay $25. For each hotel pay $100.,0,Repairs
Speeding fine $15.,-15,none
"Take a trip to Reading Railroad. If you pass Go, collect $200.",0,ReadRailroad
You have been elected Chairman of the Board. Pay each player $50.,-50,PerPlayer
Your building loan matures. Collect $150.,150,none
