Property Name,Property Space,Set,Cost,Base rent,1 house,2 house,3 house,4 house,Hotel,House cost,Mortgage value
"Mediterranean Avenue","1","Brown",60,2,10,30,90,160,250,50,30
"Baltic Avenue","3","Brown",60,4,20,60,180,320,450,50,30
"Oriental Avenue","6","Light Blue",100,6,30,90,270,400,550,50,50
"Vermont Avenue","8","Light Blue",100,6,30,90,270,400,550,50,50
"Connecticut Avenue","9","Light Blue",120,8,40,100,300,450,600,50,60
"St. Charles Place","11","Pink",140,10,50,150,450,625,750,100,70
"States Avenue","13","Pink",140,10,50,150,450,625,750,100,70
"Virginia Avenue","14","Pink",160,12,60,180,500,700,900,100,80
"St. James Place","16","Orange",180,14,70,200,550,750,950,100,90
"Tennessee Avenue","18","Orange",180,14,70,200,550,750,950,100,90
"New York Avenue","19","Orange",200,16,80,220,600,800,1000,100,100
"Kentucky Avenue","21","Red",220,18,90,250,700,875,1050,150,110
"Indiana Avenue","23","Red",220,18,90,250,700,875,1050,150,110
"Illinois Avenue","24","Red",240,20,100,300,750,925,1100,150,120
"Atlantic Avenue","26","Yellow",260,22,110,330,800,975,1150,150,130
"Ventnor Avenue","27","Yellow",260,22,110,330,800,975,1150,150,130
"Marvin Gardens","29","Yellow",280,24,120,360,850,1025,1200,150,140
"Pacific Avenue","31","Green",300,26,130,390,900,1100,1275,200,150
"North Carolina Avenue","32","Green",300,26,130,390,900,1100,1275,200,150
"Pennsylvania Avenue","34","Green",320,28,150,450,1000,1200,1400,200,160
"Park Place","37","Dark Blue",350,35,175,500,1100,1300,1500,200,175
"Boardwalk","39","Dark Blue",400,50,200,600,1400,1700,2000,200,200
"Reading Railroad","5","Railroad",200,25,0,0,0,0,0,0,100
"Pennsylvania Railroad","15","Railroad",200,25,0,0,0,0,0,0,100
"B. & O. Railroad","25","Railroad",200,25,0,0,0,0,0,0,100
"Short Line","35","Railroad",200,25,0,0,0,0,0,0,100
"Electric Company","12","Utility",150,0,0,0,0,0,0,0,75
"Water Works","28","Utility",150,0,0,0,0,0,0,0,75
